endpoint,identity,status,bytes,flag
"GET [999999999] /api/vehicles/:id/latest-data","admin",429,55,""
"GET /api/vehicles/:id/latest-data","portal-admin",429,55,""
"GET [999999999] /api/vehicles/:id/latest-data","portal-admin",429,55,""
"GET /api/vehicles/:id/latest-data","portal-other",429,55,""
"GET [999999999] /api/vehicles/:id/latest-data","portal-other",429,55,""
"GET /api/vehicles/:id/latest-data","portal-driver",429,55,""
"GET [999999999] /api/vehicles/:id/latest-data","portal-driver",429,55,""
"POST /api/vehicles","anon",429,55,""
"POST /api/vehicles","nobody",429,55,""
"POST /api/vehicles","viewer",429,55,""
"POST /api/vehicles","portal-admin",429,55,""
"POST /api/vehicles","portal-other",429,55,""
"POST /api/vehicles","portal-driver",429,55,""
"POST /api/vehicles/bulk-import-plates","anon",429,55,""
"POST /api/vehicles/bulk-import-plates","nobody",429,55,""
"POST /api/vehicles/bulk-import-plates","viewer",429,55,""
"POST /api/vehicles/bulk-import-plates","portal-admin",429,55,""
"POST /api/vehicles/bulk-import-plates","portal-other",429,55,""
"POST /api/vehicles/bulk-import-plates","portal-driver",429,55,""
"POST /api/vehicles/bulk-import-csv","anon",429,55,""
"POST /api/vehicles/bulk-import-csv","nobody",429,55,""
"POST /api/vehicles/bulk-import-csv","viewer",429,55,""
"POST /api/vehicles/bulk-import-csv","portal-admin",429,55,""
"POST /api/vehicles/bulk-import-csv","portal-other",429,55,""
"POST /api/vehicles/bulk-import-csv","portal-driver",429,55,""
"PATCH /api/vehicles/:id","anon",429,55,""
"PATCH /api/vehicles/:id","nobody",429,55,""
"PATCH /api/vehicles/:id","viewer",429,55,""
"PATCH /api/vehicles/:id","portal-admin",429,55,""
"PATCH /api/vehicles/:id","portal-other",429,55,""
"PATCH /api/vehicles/:id","portal-driver",429,55,""
"PATCH /api/vehicles/:id/maintenance-status","anon",429,55,""
"PATCH /api/vehicles/:id/maintenance-status","nobody",429,55,""
"PATCH /api/vehicles/:id/maintenance-status","viewer",429,55,""
"PATCH /api/vehicles/:id/maintenance-status","portal-admin",429,55,""
"PATCH /api/vehicles/:id/maintenance-status","portal-other",429,55,""
"PATCH /api/vehicles/:id/maintenance-status","portal-driver",429,55,""
"PATCH /api/vehicles/:id/mileage","anon",429,55,""
"PATCH /api/vehicles/:id/mileage","nobody",429,55,""
"PATCH /api/vehicles/:id/mileage","viewer",429,55,""
"PATCH /api/vehicles/:id/mileage","portal-admin",429,55,""
"PATCH /api/vehicles/:id/mileage","portal-other",429,55,""
"PATCH /api/vehicles/:id/mileage","portal-driver",429,55,""
"PATCH /api/vehicles/:id/toggle-registration","anon",429,55,""
"PATCH /api/vehicles/:id/toggle-registration","nobody",429,55,""
"PATCH /api/vehicles/:id/toggle-registration","viewer",429,55,""
"PATCH /api/vehicles/:id/toggle-registration","portal-admin",429,55,""
"PATCH /api/vehicles/:id/toggle-registration","portal-other",429,55,""
"PATCH /api/vehicles/:id/toggle-registration","portal-driver",429,55,""
"PATCH /api/vehicles/:id/fuel-status","anon",429,55,""
"PATCH /api/vehicles/:id/fuel-status","nobody",429,55,""
"PATCH /api/vehicles/:id/fuel-status","viewer",429,55,""
"PATCH /api/vehicles/:id/fuel-status","portal-admin",429,55,""
"PATCH /api/vehicles/:id/fuel-status","portal-other",429,55,""
"PATCH /api/vehicles/:id/fuel-status","portal-driver",429,55,""
"GET /api/vehicles/:id/delete-impact","anon",429,55,""
"GET [999999999] /api/vehicles/:id/delete-impact","anon",429,55,""
"GET /api/vehicles/:id/delete-impact","nobody",429,55,""
"GET [999999999] /api/vehicles/:id/delete-impact","nobody",429,55,""
"GET /api/vehicles/:id/delete-impact","viewer",429,55,""
"GET [999999999] /api/vehicles/:id/delete-impact","viewer",429,55,""
"GET /api/vehicles/:id/delete-impact","manager",429,55,""
"GET [999999999] /api/vehicles/:id/delete-impact","manager",429,55,""
"GET /api/vehicles/:id/delete-impact","admin",429,55,""
"GET [999999999] /api/vehicles/:id/delete-impact","admin",429,55,""
"GET /api/vehicles/:id/delete-impact","portal-admin",429,55,""
"GET [999999999] /api/vehicles/:id/delete-impact","portal-admin",429,55,""
"GET /api/vehicles/:id/delete-impact","portal-other",429,55,""
"GET [999999999] /api/vehicles/:id/delete-impact","portal-other",429,55,""
"GET /api/vehicles/:id/delete-impact","portal-driver",429,55,""
"GET [999999999] /api/vehicles/:id/delete-impact","portal-driver",429,55,""
"DELETE /api/vehicles/:id","anon",429,55,""
"DELETE /api/vehicles/:id","nobody",429,55,""
"DELETE /api/vehicles/:id","viewer",429,55,""
"DELETE /api/vehicles/:id","portal-admin",429,55,""
"DELETE /api/vehicles/:id","portal-other",429,55,""
"DELETE /api/vehicles/:id","portal-driver",429,55,""
"GET /api/deleted-records","anon",429,55,""
"GET /api/deleted-records","nobody",429,55,""
"GET /api/deleted-records","viewer",429,55,""
"GET /api/deleted-records","manager",429,55,""
"GET /api/deleted-records","admin",429,55,""
"GET /api/deleted-records","portal-admin",429,55,""
"GET /api/deleted-records","portal-other",429,55,""
"GET /api/deleted-records","portal-driver",429,55,""
"POST /api/deleted-records/:id/restore","anon",429,55,""
"POST /api/deleted-records/:id/restore","nobody",429,55,""
"POST /api/deleted-records/:id/restore","viewer",429,55,""
"POST /api/deleted-records/:id/restore","portal-admin",429,55,""
"POST /api/deleted-records/:id/restore","portal-other",429,55,""
"POST /api/deleted-records/:id/restore","portal-driver",429,55,""
"GET /api/vehicles/:id/blacklist","anon",429,55,""
"GET [999999999] /api/vehicles/:id/blacklist","anon",429,55,""
"GET /api/vehicles/:id/blacklist","nobody",429,55,""
"GET [999999999] /api/vehicles/:id/blacklist","nobody",429,55,""
"GET /api/vehicles/:id/blacklist","viewer",429,55,""
"GET [999999999] /api/vehicles/:id/blacklist","viewer",429,55,""
"GET /api/vehicles/:id/blacklist","manager",429,55,""
"GET [999999999] /api/vehicles/:id/blacklist","manager",429,55,""
"GET /api/vehicles/:id/blacklist","admin",429,55,""
"GET [999999999] /api/vehicles/:id/blacklist","admin",429,55,""
"GET /api/vehicles/:id/blacklist","portal-admin",429,55,""
"GET [999999999] /api/vehicles/:id/blacklist","portal-admin",429,55,""
"GET /api/vehicles/:id/blacklist","portal-other",429,55,""
"GET [999999999] /api/vehicles/:id/blacklist","portal-other",429,55,""
"GET /api/vehicles/:id/blacklist","portal-driver",429,55,""
"GET [999999999] /api/vehicles/:id/blacklist","portal-driver",429,55,""
"GET /api/customers/:id/blacklist","anon",429,55,""
"GET [999999999] /api/customers/:id/blacklist","anon",429,55,""
"GET /api/customers/:id/blacklist","nobody",429,55,""
